"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"880","92.520437","1.8.1","host","USB","35","00001b0000000000","URB_INTERRUPT in"
"882","92.712317","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"883","92.768279","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"888","92.872306","1.8.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"889","92.936325","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"894","93.136307","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"896","93.312278","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"897","93.376297","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"899","93.568435","1.8.1","host","USB","35","0000360000000000","URB_INTERRUPT in"
"901","93.880398","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"903","93.992343","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"905","94.152274","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"907","94.288377","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"908","94.344311","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"909","94.408307","1.8.1","host","USB","35","0000041700000000","URB_INTERRUPT in"
"910","94.448313","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"911","94.472408","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"913","94.560315","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"915","94.632393","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"916","94.712299","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"918","95.440314","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"920","95.600274","1.8.1","host","USB","35","0000360000000000","URB_INTERRUPT in"
"922","95.784302","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"923","95.880357","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"925","95.976310","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"927","96.056416","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"928","96.136327","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"930","96.232338","1.8.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"932","96.408304","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"934","96.536279","1.8.1","host","USB","35","0000220000000000","URB_INTERRUPT in"
"935","96.648379","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"937","96.976388","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"939","97.088310","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"940","97.120308","1.8.1","host","USB","35","0000041600000000","URB_INTERRUPT in"
"941","97.144275","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"943","97.256320","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"945","97.344274","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"947","97.520329","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"948","97.584380","1.8.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"949","97.656308","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"951","97.768308","1.8.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"952","97.816388","1.8.1","host","USB","35","0200340000000000","URB_INTERRUPT in"
"954","97.992416","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"959","98.200321","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"961","98.312276","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"966","98.720327","1.8.1","host","USB","35","00001b0000000000","URB_INTERRUPT in"
"968","98.928408","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"969","99.008337","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"974","99.280423","1.8.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"976","99.392327","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"981","99.752276","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"983","99.976406","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"985","100.120328","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"987","100.288423","1.8.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"988","100.360333","1.8.1","host","USB","35","0200340000000000","URB_INTERRUPT in"
"989","100.416308","1.8.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"991","101.968356","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"993","102.112391","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"995","103.424348","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"1000","103.536404","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"1001","103.600309","1.8.1","host","USB","35","0000043900000000","URB_INTERRUPT in"
"1005","103.640321","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"1007","103.792329","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"1008","103.840322","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"1010","104.144427","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"1012","104.304413","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"1013","104.352413","1.8.1","host","USB","35","0000150800000000","URB_INTERRUPT in"
"1014","104.384316","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1016","104.440347","1.8.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"1017","104.504408","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1019","104.608339","1.8.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"1021","104.760317","1.8.1","host","USB","35","0000050000000000","URB_INTERRUPT in"
"1022","104.816318","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1024","104.912281","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"1026","105.008459","1.8.1","host","USB","35","0000360000000000","URB_INTERRUPT in"
"1028","105.456361","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"1030","105.616415","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"1032","105.768311","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"1034","106.144394","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"1036","106.464310","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"1038","106.768303","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"1040","107.056303","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"1042","107.272320","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"1044","107.480279","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"1046","107.656315","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"1048","107.792412","1.8.1","host","USB","35","00002a0000000000","URB_INTERRUPT in"
"1050","108.120434","1.8.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"1052","109.784399","1.8.1","host","USB","35","00001f0000000000","URB_INTERRUPT in"
"1054","110.008335","1.8.1","host","USB","35","00001e0000000000","URB_INTERRUPT in"
"1056","110.464427","1.8.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"1058","110.744302","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"1060","110.944324","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"1062","111.176442","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"1064","111.336448","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"1066","111.568305","1.8.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"1068","111.824312","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"1070","112.016442","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1072","112.232316","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"1074","112.440304","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"1076","112.672443","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"1078","113.024414","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"1080","113.208334","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"1082","113.536399","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"1084","113.792281","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"1086","114.072310","1.8.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"1088","114.376320","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"1090","114.616423","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"1092","114.856315","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1094","116.144417","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"1096","117.088430","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"1098","117.384323","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"1100","117.696339","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"1105","117.904310","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"1106","117.984356","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"1111","118.360314","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"1112","118.440402","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1113","118.520346","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"1115","118.736315","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"1117","118.840328","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"1118","118.912382","1.8.1","host","USB","35","0000041600000000","URB_INTERRUPT in"
"1119","118.936322","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"1121","119.056400","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"1123","119.408283","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"1125","119.656330","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"1127","119.856431","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"1128","119.952336","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"1129","120.040392","1.8.1","host","USB","35","0000041500000000","URB_INTERRUPT in"
"1130","120.064357","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"1132","120.256364","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"1133","120.352392","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"1135","120.456402","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"1137","120.576283","1.8.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"1139","120.672317","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"1141","120.776318","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"1143","120.856313","1.8.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"1144","120.944397","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"1146","121.760333","1.8.1","host","USB","35","0000250000000000","URB_INTERRUPT in"
"1148","122.096321","1.8.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"1150","122.480284","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"1152","122.968318","1.8.1","host","USB","35","0000220000000000","URB_INTERRUPT in"
"1154","124.288432","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"1156","124.808413","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"1158","124.936305","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"1160","125.144318","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"1165","125.272326","1.8.1","host","USB","35","00000a0000000000","URB_INTERRUPT in"
"1166","125.336425","1.8.1","host","USB","35","00000a3900000000","URB_INTERRUPT in"
"1170","125.352332","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"1172","125.520324","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"1174","125.648392","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"1176","125.704319","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"1177","125.768433","1.8.1","host","USB","35","0000072c00000000","URB_INTERRUPT in"
"1178","125.784335","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"1180","125.904289","1.8.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"1182","126.112330","1.8.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"1183","126.192289","1.8.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"1185","126.320428","1.8.1","host","USB","35","00000e0000000000","URB_INTERRUPT in"
"1187","126.680381","1.8.1","host","USB","35","0000360000000000","URB_INTERRUPT in"
"1189","126.800334","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"1191","127.024313","1.8.1","host","USB","35","00001a0000000000","URB_INTERRUPT in"
"1192","127.096427","1.8.1","host","USB","35","00001a0400000000","URB_INTERRUPT in"
"1193","127.120378","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"1195","127.232347","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"1197","127.344420","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"1198","127.416427","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1200","127.536319","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"1201","127.624338","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1202","127.688353","1.8.1","host","USB","35","0000081500000000","URB_INTERRUPT in"
"1203","127.712435","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"1205","127.864383","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"1207","128.560335","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"1209","128.928313","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"1211","129.520371","1.8.1","host","USB","35","0000130000000000","URB_INTERRUPT in"
"1212","131.096293","1.8.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"1213","131.176423","1.8.1","host","USB","35","0200380000000000","URB_INTERRUPT in"
"1214","131.704330","1.8.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"1215","131.768333","1.8.1","host","USB","35","0200380000000000","URB_INTERRUPT in"
"1216","131.848321","1.8.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"1217","131.984320","1.8.1","host","USB","35","0200380000000000","URB_INTERRUPT in"
"1218","132.080319","1.8.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"1219","132.152327","1.8.1","host","USB","35","0200380000000000","URB_INTERRUPT in"
"1220","132.192420","1.8.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"1222","132.376354","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"1224","132.568333","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"1229","132.872326","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"1231","133.096321","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"1236","133.280358","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"1238","133.384431","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"1240","134.064302","1.8.1","host","USB","35","0000050000000000","URB_INTERRUPT in"
"1242","135.496330","1.8.1","host","USB","35","0000380000000000","URB_INTERRUPT in"
"1244","135.656425","1.8.1","host","USB","35","0000380000000000","URB_INTERRUPT in"
"1246","135.776318","1.8.1","host","USB","35","0000380000000000","URB_INTERRUPT in"
"1248","136.064325","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"1250","136.200331","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"1252","136.320458","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"1254","136.624330","1.8.1","host","USB","35","0000280000000000","URB_INTERRUPT in"
"1256","136.960336","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"1261","137.288365","1.8.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"1263","137.440317","1.8.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"1264","137.480339","1.8.1","host","USB","35","0000150400000000","URB_INTERRUPT in"
"1265","137.520417","1.8.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"1267","137.576319","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"1269","137.696431","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"1271","137.824343","1.8.1","host","USB","35","0000100000000000","URB_INTERRUPT in"
"1273","138.080353","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"1275","138.168340","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"1277","138.288382","1.8.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"1279","138.384315","1.8.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"1281","138.512319","1.8.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"1283","138.704343","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"1285","138.784291","1.8.1","host","USB","35","00002c0000000000","URB_INTERRUPT in"
"1286","138.864358","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1288","138.968427","1.8.1","host","USB","35","0000110000000000","URB_INTERRUPT in"
"1290","139.072426","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"1291","139.112328","1.8.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"1292","139.184351","1.8.1","host","USB","35","0000080700000000","URB_INTERRUPT in"
"1293","139.216343","1.8.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"1295","139.464333","1.8.1","host","USB","35","0000390000000000","URB_INTERRUPT in"
"1300","139.568437","1.8.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
